Attribute,Type,Description
pid,pid,Identificador único
label,label,Nombre de la obra. Iniciales con mayúsculas
autores,text,"Autores de la obra separados por comas. Iniciales con mayúsculas, Incluir acentos"
_resena,text,Descripción corta de la obra
_resenado,text
keyword,text
editores,text,"Editores de la obra separados por comas. Iniciales con mayúsculas, incluir acentos"
grupo,text,Grupo o colectivo que produjo o editó la obra
fecha,text,Año de publicación. Escrito en número completo (Ej. 1990)
ciudad,text,"Ciudad de publicación. Iniciales con mayúsculas, incluir acentos"
pais,text,"País de publicación. Iniciales con mayúsculas, incluir acentos"
conseguido,text
tipo_principal,text,"Tipo de contenido principal: (Ilustración, Texto, Cómic Fotografía)"
nota,text,Información adicional
medio_impresion,ref:Tecnica,"Medio de impresión principal: (Offset, Digital, Fotocopia, Risografía, Tipos Móviles). Referencia a tabla de medio de impresión"
intervencion_manual,text,"¿Tiene la obra algún tipo de intervención manual?: (sí, no)"
portada_color,text,"¿Tiene la obra portada full color, duotono o monotono?: (full, duo, tri, no)"
portada_especial,text,"¿Usa la portada una técnica de impresión diferente al contenido?: (No o especificar)"
internas_color,text,"¿Tienen la páginas internas full color, duotono o monotono?: (full, duo, tri, no)"
papel_portada_color,text,"¿Tiene la portada un papel de color diferente al blanco?: (sí, no)"
compaginado,text,"Formato de compaginación: (Cuadernillo, Periódico, Ruanita, Plegable)"
_nota_archivo,text
latlong,latlong,"Coordenadas de lugar de publicación"
